Rk,Unnamed: 1,Age,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19,OBPM,DBPM,BPM,VORP,Year,Team,Percent_VORP,TOV%,USG%,Unnamed: 16,Unnamed: 21,3PAr,Unnamed: 17,Unnamed: 22
1,LeBron James,33,22,922,32.2,0.619,0.418,3.9,22.3,12.9,46.4,1.7,2.3,,4.2,1.0,5.2,0.26899999999999996,,10.1,2.6,12.7,3.4,2018,CLE,0.8947368421052632,13.5,35.0,,,0.22399999999999998,,
1,Michael Jordan,24,10,427,28.4,0.598,0.381,5.8,12.7,9.2,23.1,2.9,1.5,,1.3,0.8,2.1,0.23399999999999999,,8.5,3.7,12.2,1.5,1988,CHI,0.8823529411764706,11.4,35.2,,,0.012,,
1,Kareem Abdul-Jabbar,29,11,467,32.4,0.6459999999999999,0.496,11.4,31.5,21.6,18.1,1.9,4.2,,2.3,0.9,3.2,0.332,,9.6,2.6,12.2,1.7,1977,LAL,0.85,,,,,,,
1,Bernard King,27,12,477,27.6,0.62,0.436,6.7,10.8,8.8,14.8,1.4,0.7,,2.1,0.3,2.3,0.23399999999999999,,8.4,0.2,8.6,1.3,1984,NYK,0.7647058823529411,8.4,31.9,,,0.004,,
1,Michael Jordan,25,17,718,29.9,0.602,0.5870000000000001,4.4,14.4,9.6,38.0,3.1,1.2,,2.8,1.2,4.0,0.27,,9.1,3.1,12.1,2.5,1989,CHI,0.7575757575757576,12.2,35.4,,,0.09,,
3,Hakeem Olajuwon,24,10,389,28.5,0.659,0.542,12.0,20.7,16.5,11.7,1.7,6.4,,1.2,0.8,2.0,0.251,,5.7,4.1,9.8,1.1,1987,HOU,0.7333333333333334,14.0,28.1,,,0.006,,
1,Michael Jordan,26,16,674,31.7,0.5920000000000001,0.373,4.2,16.6,10.2,34.5,3.5,1.5,,2.7,1.3,4.0,0.284,,10.2,3.5,13.7,2.7,1990,CHI,0.7297297297297297,10.1,36.1,,,0.11699999999999999,,
1,Vince Carter,29,11,450,26.8,0.5589999999999999,0.44299999999999995,4.2,17.6,10.7,27.8,2.4,1.3,,1.3,0.6,1.9,0.207,,7.4,2.0,9.4,1.3,2006,NJN,0.6842105263157897,8.2,33.8,,,0.23800000000000002,,
3,Jason Kidd,33,12,484,22.0,0.55,0.16899999999999998,5.8,26.2,16.2,49.5,2.5,0.9,,1.0,1.1,2.1,0.207,,5.0,3.6,8.6,1.3,2007,NJN,0.6842105263157895,20.5,19.9,,,0.547,,
1,Nikola JokiÄ‡,23,14,557,29.6,0.596,0.299,10.0,24.5,17.2,37.1,1.5,1.8,,2.4,0.6,3.0,0.263,,8.3,3.3,11.6,1.9,2019,DEN,0.6785714285714285,10.9,26.5,,,0.215,,
2,LeBron James,24,14,580,37.4,0.618,0.638,4.3,23.6,14.2,39.5,2.2,1.8,,3.7,1.1,4.8,0.39899999999999997,,12.8,4.8,17.5,2.9,2009,CLE,0.6744186046511628,8.7,36.4,,,0.26,,
1,Rolando Blackman,24,10,397,20.4,0.589,0.36,3.9,7.9,5.8,17.5,0.8,0.6,,1.0,0.0,1.1,0.131,,4.0,-0.3,3.7,0.6,1984,DAL,0.6666666666666667,10.6,24.4,,,0.0,,
1,Adrian Dantley,28,11,454,24.7,0.604,0.599,9.3,11.0,10.2,17.1,1.1,0.1,,1.7,0.2,2.0,0.207,,5.7,-1.2,4.5,0.7,1984,UTA,0.6363636363636364,11.5,30.1,,,0.0,,
1,Sleepy Floyd,26,10,414,19.3,0.613,0.336,2.3,6.2,4.1,35.5,2.1,0.3,,0.9,0.2,1.2,0.13699999999999998,,5.2,-0.9,4.2,0.7,1987,GSW,0.6363636363636364,16.7,20.9,,,0.184,,
1,LeBron James,21,13,604,23.2,0.557,0.384,4.4,16.2,10.3,28.1,1.7,1.3,,1.0,0.7,1.7,0.135,,6.3,1.2,7.5,1.4,2006,CLE,0.6363636363636362,15.3,33.5,,,0.205,,
1,LeBron James,25,11,460,28.6,0.607,0.569,4.0,22.1,13.3,36.8,2.1,3.0,,1.5,0.8,2.3,0.242,,8.5,3.0,11.5,1.6,2010,CLE,0.6153846153846154,13.7,30.9,,,0.237,,
1,Hakeem Olajuwon,30,12,518,26.7,0.568,0.315,12.8,23.4,18.7,20.6,2.1,7.0,,1.2,1.2,2.4,0.221,,4.8,4.3,9.1,1.4,1993,HOU,0.6086956521739132,14.2,27.8,,,0.004,,
1,LeBron James,23,13,552,24.3,0.525,0.607,3.4,19.3,11.2,40.5,2.3,2.6,,1.0,1.2,2.2,0.187,,6.7,3.4,10.1,1.7,2008,CLE,0.6071428571428572,13.4,34.7,,,0.255,,
1,Charles Barkley,26,10,419,25.0,0.589,0.667,18.0,26.8,22.2,17.7,1.0,1.1,,1.3,0.2,1.5,0.17600000000000002,,7.0,-0.6,6.4,0.9,1990,PHI,0.6,12.5,25.3,,,0.111,,
1,Karl Malone,36,10,386,25.8,0.584,0.39899999999999997,6.1,20.9,13.7,19.0,1.0,1.4,,1.2,0.3,1.6,0.19399999999999998,,6.8,0.6,7.3,0.9,2000,UTA,0.6,10.4,32.3,,,0.01,,
2,Charles Barkley,30,10,425,27.8,0.575,0.255,8.4,27.0,17.1,20.0,3.0,1.5,,1.5,0.4,1.8,0.20800000000000002,,7.0,1.9,8.8,1.1,1994,PHO,0.5789473684210527,10.1,27.0,,,0.185,,
1,Ray Allen,25,18,768,23.7,0.613,0.26,2.8,7.4,5.2,27.1,1.7,0.9,,3.2,0.4,3.6,0.223,,8.2,0.1,8.3,2.0,2001,MIL,0.5714285714285714,10.4,24.9,,,0.36,,
2,John Stockton,25,11,478,22.5,0.618,0.679,3.6,7.0,5.4,51.9,3.9,0.4,,1.3,0.7,2.0,0.201,,5.4,3.4,8.8,1.3,1988,UTA,0.5652173913043479,21.6,20.3,,,0.10400000000000001,,
